Module	DEG_Count	LDEG_Count	Total_DEG_Count	Module_Gene_Count	DEG_Percent_In_Module	LDEG_Percent_In_Module
0	15	4	19	81	0.2345679012345679	0.18518518518518517
1	153	0	153	1443	0.10602910602910603	0.10602910602910603
2	120	0	120	1437	0.08350730688935282	0.08350730688935282
3	90	1	91	391	0.23273657289002558	0.23017902813299232
4	75	55	130	344	0.37790697674418605	0.2180232558139535
5	30	27	57	181	0.3149171270718232	0.16574585635359115
6	22	7	29	141	0.20567375886524822	0.15602836879432624
7	22	19	41	125	0.328	0.176
8	35	5	40	76	0.5263157894736842	0.4605263157894737
9	26	2	28	76	0.3684210526315789	0.34210526315789475
10	15	1	16	73	0.2191780821917808	0.2054794520547945
11	7	0	7	71	0.09859154929577464	0.09859154929577464
12	15	7	22	70	0.3142857142857143	0.21428571428571427
13	6	0	6	69	0.08695652173913043	0.08695652173913043
14	16	2	18	67	0.26865671641791045	0.23880597014925373
15	10	0	10	67	0.14925373134328357	0.14925373134328357
16	6	0	6	66	0.09090909090909091	0.09090909090909091
17	11	3	14	64	0.21875	0.171875
18	3	0	3	59	0.05084745762711865	0.05084745762711865
19	9	0	9	59	0.15254237288135594	0.15254237288135594
20	5	0	5	55	0.09090909090909091	0.09090909090909091
21	1	0	1	53	0.018867924528301886	0.018867924528301886
22	20	2	22	38	0.5789473684210527	0.5263157894736842
23	18	0	18	29	0.6206896551724138	0.6206896551724138
24	8	4	12	28	0.42857142857142855	0.2857142857142857
25	1	0	1	26	0.038461538461538464	0.038461538461538464
26	11	0	11	25	0.44	0.44
27	7	0	7	23	0.30434782608695654	0.30434782608695654
28	2	0	2	22	0.09090909090909091	0.09090909090909091
29	2	0	2	22	0.09090909090909091	0.09090909090909091
30	8	4	12	22	0.5454545454545454	0.36363636363636365
31	3	3	6	20	0.3	0.15
32	10	0	10	20	0.5	0.5
33	4	2	6	20	0.3	0.2
34	2	0	2	16	0.125	0.125
35	1	0	1	16	0.0625	0.0625
36	4	3	7	15	0.4666666666666667	0.26666666666666666
37	1	0	1	14	0.07142857142857142	0.07142857142857142
38	4	0	4	14	0.2857142857142857	0.2857142857142857
39	1	0	1	14	0.07142857142857142	0.07142857142857142
40	2	0	2	14	0.14285714285714285	0.14285714285714285
41	6	1	7	13	0.5384615384615384	0.46153846153846156
42	12	0	12	13	0.9230769230769231	0.9230769230769231
43	0	0	0	13	0.0	0.0
44	0	0	0	12	0.0	0.0
45	0	0	0	12	0.0	0.0
46	0	0	0	12	0.0	0.0
47	1	0	1	11	0.09090909090909091	0.09090909090909091
48	0	0	0	11	0.0	0.0
