Gene	Name	Description	Fold Change	Adjusted p-values	Base Mean	log2FoldChange
PA0001	dnaA	chromosomal replication initiator protein DnaA	1.57	0.0032392347	3161.62	0.65
PA0005	lptA	lysophosphatidic acid acyltransferase, LptA	2.39	2.07E-21	479.06	1.26
PA0006		conserved hypothetical protein	2.01	1.39E-07	185.29	1.01
PA0007		hypothetical protein	-5.15	1.01E-12	315.87	-2.36
PA0008	glyS	glycyl-tRNA synthetase beta chain	2.11	0.000167587	1635.05	1.08
PA0009	glyQ	glycyl-tRNA synthetase alpha chain	2.30	1.44E-13	1135.53	1.20
PA0010	tag	DNA-3-methyladenine glycosidase I	-1.92	4.55E-07	99.60	-0.94
PA0013		conserved hypothetical protein	13.63	1.58E-38	447.82	3.77
PA0014		hypothetical protein	-1.61	0.0134080962	37.36	-0.68
PA0017		conserved hypothetical protein	3.32	3.20E-09	486.06	1.73
PA0018	fmt	methionyl-tRNA formyltransferase	4.11	2.88E-43	474.58	2.04
PA0019	def	polypeptide deformylase	1.96	5.97E-05	1223.62	0.97
PA0022		conserved hypothetical protein	3.27	1.21E-18	318.97	1.71
PA0023	qor	quinone oxidoreductase	-7.64	2.79E-50	269.52	-2.93
PA0024	hemF	coproporphyrinogen III oxidase, aerobic	3.08	2.54E-10	647.21	1.62
PA0025	aroE	shikimate dehydrogenase	1.51	0.0453584195	276.73	0.60
PA0026	plcB	phospholipase C, PlcB	-9.00	1.26E-34	808.90	-3.17
PA0027		hypothetical protein	-7.89	3.91E-23	403.75	-2.98
PA0028		hypothetical protein	-7.95	3.60E-35	146.54	-2.99
PA0036	trpB	tryptophan synthase beta chain	-1.89	0.0122492845	816.06	-0.92
PA0037	trpI	transcriptional regulator TrpI	2.30	6.87E-06	122.51	1.20
PA0038		hypothetical protein	-6.63	1.79E-18	310.59	-2.73
PA0039		hypothetical protein	-4.42	2.59E-10	1885.91	-2.14
PA0040		conserved hypothetical protein	2.05	0.0023314887	180.00	1.04
PA0042		hypothetical protein	1.58	0.0149284977	154.25	0.66
PA0044	exoT	exoenzyme T	2.45	0.0001615479	879.58	1.29
PA0045		hypothetical protein	7.30	5.59E-08	968.32	2.87
PA0046		hypothetical protein	9.76	4.25E-10	688.79	3.29
PA0047		hypothetical protein	10.73	8.42E-13	641.87	3.42
PA0048		probable transcriptional regulator	-13.80	3.09E-11	237.71	-3.79
PA0049		hypothetical protein	-14.35	4.89E-10	1297.08	-3.84
PA0050		hypothetical protein	-21.71	9.97E-52	548.74	-4.44
PA0051	phzH	potential phenazine-modifying enzyme	-2.56	4.17E-05	73.21	-1.36
PA0052		hypothetical protein	-19.59	9.77E-15	92.80	-4.29
PA0054		conserved hypothetical protein	-2.09	3.37E-08	84.90	-1.06
PA0055		hypothetical protein	-3.07	5.80E-16	221.91	-1.62
PA0059	osmC	osmotically inducible protein OsmC	-14.48	1.32E-11	102.27	-3.86
PA0060		conserved hypothetical protein	-2.20	2.25E-10	144.98	-1.14
PA0063		hypothetical protein	-1.90	0.0007848501	116.97	-0.93
PA0064		hypothetical protein	1.57	0.0003011844	241.10	0.65
PA0065		hypothetical protein	1.93	2.81E-08	201.66	0.95
PA0066		conserved hypothetical protein	1.65	1.24E-05	194.50	0.72
PA0067	prlC	oligopeptidase A	-1.69	2.99E-07	1201.78	-0.76
PA0068		hypothetical protein	-1.98	8.49E-09	145.82	-0.98
PA0073	tagT1	TagT1	-2.25	0.0054899648	69.59	-1.17
PA0074	ppkA	serine/threonine protein kinase PpkA	-2.31	0.0043382862	578.07	-1.21
PA0077	icmF1	IcmF1	-1.78	0.0486283515	793.73	-0.83
PA0078	tssL1	TssL1	-1.67	0.0239866071	323.78	-0.74
PA0083	tssB1	TssB1	-2.42	0.0005387839	698.51	-1.27
PA0084	tssC1	TssC1	-2.23	0.000973875	1930.95	-1.16
PA0085	hcp1	Hcp1	-3.89	4.82E-11	2073.08	-1.96
PA0086	tagJ1	TagJ1	-1.79	0.0222775023	324.57	-0.84
PA0087	tssE1	TssE1	-2.04	0.0148668757	117.18	-1.03
PA0088	tssF1	TssF1	-2.63	0.0034772342	296.84	-1.39
PA0089	tssG1	TssG1	-2.86	0.0047043069	127.62	-1.51
PA0090	clpV1	ClpV1	-2.82	4.61E-05	800.30	-1.49
PA0091	vgrG1	VgrG1	-2.56	0.0005980245	412.15	-1.35
PA0094	eagT6	EagT6	-2.28	0.002871326	229.81	-1.19
PA0095		conserved hypothetical protein	-1.62	0.0001271326	457.90	-0.69
PA0096		hypothetical protein	-3.47	2.35E-10	39.58	-1.80
PA0097		hypothetical protein	-2.85	9.62E-13	104.39	-1.51
PA0098		hypothetical protein	-2.53	5.12E-06	61.54	-1.34
PA0099		hypothetical protein	-4.65	2.00E-28	165.14	-2.22
PA0100		hypothetical protein	-3.44	4.92E-37	285.50	-1.78
PA0101		hypothetical protein	-2.48	1.12E-15	135.82	-1.31
PA0102		probable carbonic anhydrase	-5.94	6.77E-76	543.33	-2.57
PA0103		probable sulfate transporter	-12.60	8.29E-22	133.07	-3.66
PA0104		hypothetical protein	-5.08	3.71E-14	53.64	-2.34
PA0105	coxB	cytochrome c oxidase, subunit II	-6.06	0.0001789636	398.39	-2.60
PA0106	coxA	cytochrome c oxidase, subunit I	-11.80	9.28E-06	204.26	-3.56
PA0107		conserved hypothetical protein	-10.67	0.0006182584	40.77	-3.41
PA0108	coIII	cytochrome c oxidase, subunit III	-10.14	2.40E-05	116.03	-3.34
PA0109		hypothetical protein	-8.59	3.75E-13	39.97	-3.10
