baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
PA0007	296.616253904195	-2.33204521257814	0.18068170764001	-12.9069247963082	4.11405465554076e-38	5.41813235767443e-37
PA0010	98.076218380157	-0.911353659863914	0.204589039136391	-4.45455760343227	8.40663569639066e-06	2.11453395174079e-05
PA0014	38.698344661352	-0.655705652460423	0.289886830250574	-2.26193667333435	0.0237013161423353	0.0378570221220824
PA0023	315.700541426845	-2.90625796255971	0.178254377591747	-16.3039920916605	9.24513966816853e-60	2.4123766311707e-58
PA0026	1597.82823023094	-3.14293458592837	0.136982945761181	-22.9439845118226	1.69201536653436e-116	1.85259094249566e-114
PA0027	820.343305477871	-2.95312260995095	0.149339237481288	-19.7745927979642	4.92789777174342e-87	2.83684341829023e-85
PA0028	285.715004678696	-2.95844317312309	0.182380836952914	-16.2212391529209	3.56920502628722e-59	9.05929130308537e-58
PA0036	652.466278263523	-0.892816838942596	0.19773603582933	-4.5151953977332	6.32584115489003e-06	1.61073857769749e-05
PA0038	377.2764472809	-2.7031328797125	0.196642264111589	-13.7464491264124	5.3491173720434e-43	8.27409180207489e-42
PA0039	2291.83868240875	-2.11484529244794	0.153162403699989	-13.8078617295041	2.2851434351184e-43	3.58433734317447e-42
PA0048	321.268064981148	-3.7602020713613	0.191712997248103	-19.6137044714557	1.18107933353511e-85	6.40305533831075e-84
PA0049	1712.19852114088	-3.81420865712823	0.150228910013178	-25.3893119293327	3.30963561500252e-142	1.02672251523189e-139
PA0050	958.640566502474	-4.40952290016782	0.181069159098603	-24.3526999413885	5.4278154975572e-131	1.04513523235722e-128
PA0051	84.1337226337917	-1.33197875381388	0.301685196227994	-4.41512798926752	1.00950244401828e-05	2.52669728704531e-05
PA0052	111.810663603822	-4.26156492161562	0.322031470752467	-13.2333803018007	5.62973195495712e-40	7.83950704151634e-39
PA0054	83.4350080192696	-1.03440799096853	0.220989180808553	-4.68080829651411	2.85746047179035e-06	7.58728448619939e-06
PA0055	203.212522510976	-1.58745271025444	0.179380316583852	-8.84964828073753	8.77955429540288e-19	5.09086512830007e-18
PA0059	189.303639536343	-3.83373787282035	0.254060863848721	-15.0898403427579	1.88898837889123e-51	3.93586235363008e-50
PA0060	146.578177683486	-1.11026506891745	0.192966534409027	-5.75366641846845	8.73283967903282e-09	2.8583925420703e-08
PA0061	55.2854643405853	-0.639980341755629	0.271600471477767	-2.35633001030345	0.0184565128670942	0.0301260356181976
PA0063	92.7842089850676	-0.901061130159604	0.216648054094933	-4.15910096180587	3.19502662321514e-05	7.57580834990801e-05
PA0067	1074.85967974767	-0.728226350350721	0.125689917948461	-5.79383264972237	6.87980147122036e-09	2.27183982349465e-08
PA0068	129.092254113159	-0.958648423855838	0.205716548880528	-4.66004523735513	3.16139895945484e-06	8.33486864475723e-06
PA0073	41.4026286316106	-1.14916824593091	0.317517967631673	-3.61922273092894	0.000295489229053923	0.000625004490544359
