Module	DEG_Count	LDEG_Count	Total_DEG_Count	Module_Gene_Count	DEG+LDEG_Percent_In_Module	DEG_Percent_In_Module
0	45	4	49	81	0.6049382716049383	0.5555555555555556
1	621	178	799	1443	0.5537075537075538	0.4303534303534304
2	834	20	854	1437	0.5942936673625608	0.5803757828810021
3	252	3	255	391	0.6521739130434783	0.6445012787723785
4	284	0	284	344	0.8255813953488372	0.8255813953488372
5	110	11	121	181	0.6685082872928176	0.6077348066298343
6	73	5	78	141	0.5531914893617021	0.5177304964539007
7	69	13	82	125	0.656	0.552
8	61	0	61	76	0.8026315789473685	0.8026315789473685
9	30	15	45	76	0.5921052631578947	0.39473684210526316
10	47	0	47	73	0.6438356164383562	0.6438356164383562
11	41	2	43	71	0.6056338028169014	0.5774647887323944
12	19	23	42	70	0.6	0.2714285714285714
13	48	1	49	69	0.7101449275362319	0.6956521739130435
14	21	10	31	67	0.4626865671641791	0.31343283582089554
15	58	0	58	67	0.8656716417910447	0.8656716417910447
16	39	0	39	66	0.5909090909090909	0.5909090909090909
17	30	3	33	64	0.515625	0.46875
18	35	0	35	59	0.5932203389830508	0.5932203389830508
19	35	6	41	59	0.6949152542372882	0.5932203389830508
20	17	0	17	55	0.3090909090909091	0.3090909090909091
21	27	0	27	53	0.5094339622641509	0.5094339622641509
22	23	0	23	38	0.6052631578947368	0.6052631578947368
23	17	0	17	29	0.5862068965517241	0.5862068965517241
24	13	2	15	28	0.5357142857142857	0.4642857142857143
25	1	9	10	26	0.38461538461538464	0.038461538461538464
26	19	0	19	25	0.76	0.76
27	10	0	10	23	0.43478260869565216	0.43478260869565216
28	7	0	7	22	0.3181818181818182	0.3181818181818182
29	12	1	13	22	0.5909090909090909	0.5454545454545454
30	14	0	14	22	0.6363636363636364	0.6363636363636364
31	3	2	5	20	0.25	0.15
32	8	1	9	20	0.45	0.4
33	15	1	16	20	0.8	0.75
34	9	0	9	16	0.5625	0.5625
35	5	1	6	16	0.375	0.3125
36	4	4	8	15	0.5333333333333333	0.26666666666666666
37	9	0	9	14	0.6428571428571429	0.6428571428571429
38	9	2	11	14	0.7857142857142857	0.6428571428571429
39	12	1	13	14	0.9285714285714286	0.8571428571428571
40	6	2	8	14	0.5714285714285714	0.42857142857142855
41	11	0	11	13	0.8461538461538461	0.8461538461538461
42	7	0	7	13	0.5384615384615384	0.5384615384615384
43	9	0	9	13	0.6923076923076923	0.6923076923076923
44	6	4	10	12	0.8333333333333334	0.5
45	6	0	6	12	0.5	0.5
46	7	0	7	12	0.5833333333333334	0.5833333333333334
47	3	1	4	11	0.36363636363636365	0.2727272727272727
48	7	0	7	11	0.6363636363636364	0.6363636363636364
