Module	DEG_Count	LDEG_Count	Total_DEG_Count	Module_Gene_Count	DEG_Percent_In_Module	LDEG_Percent_In_Module
0	20	13	33	81	0.4074074074074074	0.24691358024691357
1	165	0	165	1443	0.11434511434511435	0.11434511434511435
2	199	0	199	1437	0.13848295059151008	0.13848295059151008
3	216	15	231	391	0.5907928388746803	0.5524296675191815
4	64	0	64	344	0.18604651162790697	0.18604651162790697
5	33	0	33	181	0.18232044198895028	0.18232044198895028
6	23	0	23	141	0.16312056737588654	0.16312056737588654
7	24	0	24	125	0.192	0.192
8	49	8	57	76	0.75	0.6447368421052632
9	22	9	31	76	0.40789473684210525	0.2894736842105263
10	40	3	43	73	0.589041095890411	0.547945205479452
11	24	7	31	71	0.43661971830985913	0.3380281690140845
12	13	0	13	70	0.18571428571428572	0.18571428571428572
13	12	0	12	69	0.17391304347826086	0.17391304347826086
14	12	0	12	67	0.1791044776119403	0.1791044776119403
15	9	0	9	67	0.13432835820895522	0.13432835820895522
16	19	6	25	66	0.3787878787878788	0.2878787878787879
17	5	0	5	64	0.078125	0.078125
18	25	2	27	59	0.4576271186440678	0.423728813559322
19	13	2	15	59	0.2542372881355932	0.22033898305084745
20	11	3	14	55	0.2545454545454545	0.2
21	7	0	7	53	0.1320754716981132	0.1320754716981132
22	6	0	6	38	0.15789473684210525	0.15789473684210525
23	5	0	5	29	0.1724137931034483	0.1724137931034483
24	3	0	3	28	0.10714285714285714	0.10714285714285714
25	2	0	2	26	0.07692307692307693	0.07692307692307693
26	7	6	13	25	0.52	0.28
27	6	3	9	23	0.391304347826087	0.2608695652173913
28	1	0	1	22	0.045454545454545456	0.045454545454545456
29	0	0	0	22	0.0	0.0
30	5	8	13	22	0.5909090909090909	0.22727272727272727
31	16	3	19	20	0.95	0.8
32	9	0	9	20	0.45	0.45
33	3	0	3	20	0.15	0.15
34	2	0	2	16	0.125	0.125
35	0	0	0	16	0.0	0.0
36	4	7	11	15	0.7333333333333333	0.26666666666666666
37	2	0	2	14	0.14285714285714285	0.14285714285714285
38	3	1	4	14	0.2857142857142857	0.21428571428571427
39	1	0	1	14	0.07142857142857142	0.07142857142857142
40	0	0	0	14	0.0	0.0
41	4	5	9	13	0.6923076923076923	0.3076923076923077
42	5	7	12	13	0.9230769230769231	0.38461538461538464
43	0	0	0	13	0.0	0.0
44	2	0	2	12	0.16666666666666666	0.16666666666666666
45	3	0	3	12	0.25	0.25
46	0	0	0	12	0.0	0.0
47	0	0	0	11	0.0	0.0
48	1	0	1	11	0.09090909090909091	0.09090909090909091
