baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AAG03393	640.805944316287	-1.09294949540285	0.152272950110854	-7.17756827202196	7.09622252463796e-13	1.01162858967424e-11
AAG03395	152.337036315906	-1.30539624604404	0.236532817535393	-5.51888004229567	3.41166974720689e-08	2.49367025699459e-07
AAG03397	37.8696976075805	-1.38489371751146	0.328083370024828	-4.22116402122625	2.43044002530178e-05	0.000104737194460518
AAG03398	116.933350717307	-1.2457150430378	0.228545344834493	-5.45062531875201	5.01930186939361e-08	3.54074783034743e-07
AAG03406	138.238645963366	-1.56292890815962	0.263764395379137	-5.92547339800377	3.11398993744601e-09	2.65247816824575e-08
AAG03409	255.544304812561	-1.1227680861411	0.208725685108076	-5.37915631015774	7.48357131804845e-08	5.1919058953678e-07
AAG03413	103.649051287196	-1.22207707643929	0.239234747528417	-5.1082758214048	3.2511183107591e-07	2.04978129061717e-06
AAG03415	47.385238498669	-1.04042693726249	0.341539869821474	-3.04628252568675	0.00231690017116691	0.00636942185482253
AAG03417	4.48525534966172	-1.12023222919365	0.713165203003363	-1.57078924276731	0.116231611580272	0.187815359741165
AAG03425	18.1346901457565	-1.43553602954974	0.467698605264648	-3.06936136518397	0.00214516941730145	0.00595456279535634
AAG03427	19.2714630450658	-1.00014955598876	0.473379691628571	-2.11278509339498	0.0346191661160688	0.0670761699764854
AAG03429	368.024239519166	-2.45226207303901	0.208917802614063	-11.737927751275	8.14579299353461e-32	7.41267162411649e-30
AAG03431	84.6563309676173	-1.47231490508382	0.228453156258808	-6.44471247057701	1.15819776548127e-10	1.21845082842539e-09
AAG03432	15.8092558812356	-2.40512436569126	0.520152112264292	-4.6238865689143	3.76615869869785e-06	1.91821142676215e-05
AAG03434	103.725031687752	1.13920818838413	0.345160401195726	3.30051820671668	0.000965064516888624	0.00291279837601541
AAG03436	28.2702676133745	-1.81276043948636	0.399528629483498	-4.5372479109441	5.69930945894694e-06	2.79840194656927e-05
AAG03437	24.9955123819579	-1.43579492762754	0.348069668478667	-4.12502167713455	3.70699840762342e-05	0.000153684216443613
AAG03439	95.7060481471198	-2.11338471491925	0.612060534983279	-3.45290146010965	0.000554591553686287	0.00177912449067399
