Module	DEG_Count	LDEG_Count	Total_DEG_Count	Module_Gene_Count	DEG_Percent_In_Module	LDEG_Percent_In_Module
0	30	0	30	81	0.37037037037037035	0.37037037037037035
1	512	0	512	1443	0.3548163548163548	0.3548163548163548
2	442	0	442	1437	0.30758524704244955	0.30758524704244955
3	97	0	97	391	0.24808184143222506	0.24808184143222506
4	137	12	149	344	0.4331395348837209	0.39825581395348836
5	63	0	63	181	0.34806629834254144	0.34806629834254144
6	55	3	58	141	0.41134751773049644	0.3900709219858156
7	59	8	67	125	0.536	0.472
8	22	0	22	76	0.2894736842105263	0.2894736842105263
9	48	5	53	76	0.6973684210526315	0.631578947368421
10	24	0	24	73	0.3287671232876712	0.3287671232876712
11	31	1	32	71	0.4507042253521127	0.43661971830985913
12	38	5	43	70	0.6142857142857143	0.5428571428571428
13	30	0	30	69	0.43478260869565216	0.43478260869565216
14	42	7	49	67	0.7313432835820896	0.6268656716417911
15	22	0	22	67	0.3283582089552239	0.3283582089552239
16	53	0	53	66	0.803030303030303	0.803030303030303
17	22	0	22	64	0.34375	0.34375
18	6	0	6	59	0.1016949152542373	0.1016949152542373
19	11	0	11	59	0.1864406779661017	0.1864406779661017
20	17	0	17	55	0.3090909090909091	0.3090909090909091
21	19	0	19	53	0.3584905660377358	0.3584905660377358
22	29	0	29	38	0.7631578947368421	0.7631578947368421
23	22	3	25	29	0.8620689655172413	0.7586206896551724
24	13	4	17	28	0.6071428571428571	0.4642857142857143
25	11	3	14	26	0.5384615384615384	0.4230769230769231
26	20	0	20	25	0.8	0.8
27	10	0	10	23	0.43478260869565216	0.43478260869565216
28	13	3	16	22	0.7272727272727273	0.5909090909090909
29	6	0	6	22	0.2727272727272727	0.2727272727272727
30	20	0	20	22	0.9090909090909091	0.9090909090909091
31	20	0	20	20	1.0	1.0
32	11	1	12	20	0.6	0.55
33	5	0	5	20	0.25	0.25
34	5	0	5	16	0.3125	0.3125
35	3	0	3	16	0.1875	0.1875
36	9	2	11	15	0.7333333333333333	0.6
37	1	0	1	14	0.07142857142857142	0.07142857142857142
38	5	0	5	14	0.35714285714285715	0.35714285714285715
39	4	0	4	14	0.2857142857142857	0.2857142857142857
40	8	0	8	14	0.5714285714285714	0.5714285714285714
41	10	2	12	13	0.9230769230769231	0.7692307692307693
42	13	0	13	13	1.0	1.0
43	4	0	4	13	0.3076923076923077	0.3076923076923077
44	6	2	8	12	0.6666666666666666	0.5
45	2	0	2	12	0.16666666666666666	0.16666666666666666
46	5	0	5	12	0.4166666666666667	0.4166666666666667
47	5	1	6	11	0.5454545454545454	0.45454545454545453
48	4	0	4	11	0.36363636363636365	0.36363636363636365
