Module	Transcript_Id	Locus_Tag	Expression_Fold_Change	Expression_Pvalue	FoldChange_Module	FisherTest_Module
4	AAG03440	PA0050	-1.06544202733936	0.260197935219696	1.0679256928958267	6.812204262014585e-08
4	AAG03567	PA0177	-1.32183080255928	0.194250311282658	1.0679256928958267	6.812204262014585e-08
4	AAG03968	PA0579	-1.04779250117985	0.0506180586528731	1.0679256928958267	6.812204262014585e-08
4	AAG04132	PA0743	-1.06766023331831	0.0828791884959745	1.0679256928958267	6.812204262014585e-08
4	AAG05276	PA1887	3.6413523141298	0.260935562925614	1.0679256928958267	6.812204262014585e-08
4	AAG05454	PA2066	1.07629372041126	0.233178738577923	1.0679256928958267	6.812204262014585e-08
4	AAG05457	PA2069	1.6513194283618	0.0839783835076722	1.0679256928958267	6.812204262014585e-08
4	AAG05541	PA2153	1.07637307608166	0.15012375688071	1.0679256928958267	6.812204262014585e-08
4	AAG06604	PA3216	-1.12893123525734	0.239560730793636	1.0679256928958267	6.812204262014585e-08
4	AAG06867	PA3479	1.11284467563695	0.0847189547675367	1.0679256928958267	6.812204262014585e-08
4	AAG07598	PA4211	1.77709796211411	0.669037370938597	1.0679256928958267	6.812204262014585e-08
4	AAG08125	PA4739	1.05605184340211	0.276954485482116	1.0679256928958267	6.812204262014585e-08
6	AAG04341	PA0952	1.04841876232178	0.105891039282471	1.0459778490236082	0.0014400931020475214
6	AAG05656	PA2268	1.64515465097149	0.0515065974056681	1.0459778490236082	0.0014400931020475214
6	AAG08658	PA5273	-1.02626057159287	0.061311610964126	1.0459778490236082	0.0014400931020475214
7	AAG03442	PA0052	1.39712903673635	0.346725172624648	1.2656712328767121	1.051573767094497e-06
7	AAG04603	PA1214	1.36515604657722	0.122054842120425	1.2656712328767121	1.051573767094497e-06
7	AAG04608	PA1219	1.39959460113069	0.568056606632068	1.2656712328767121	1.051573767094497e-06
7	AAG05288	PA1899	-1.93486062792811	0.116861088473522	1.2656712328767121	1.051573767094497e-06
7	AAG05289	PA1900	-1.01158583502769	0.0912086708704017	1.2656712328767121	1.051573767094497e-06
7	AAG05291	PA1902	-1.07093718331563	0.280207691504433	1.2656712328767121	1.051573767094497e-06
7	AAO42617	PA1905	-1.91528223141647	NA	1.2656712328767121	1.051573767094497e-06
7	AAG07599	PA4212	-1.33373495429477	0.125824456453227	1.2656712328767121	1.051573767094497e-06
9	AAG03901	PA0512	-1.46403748353057	0.0573273120251979	1.6935832732516225	2.6316715511562537e-11
9	AAG03906	PA0517	-1.04998098315602	0.170971660542289	1.6935832732516225	2.6316715511562537e-11
9	AAG06781	PA3393	1.27234849332578	0.0652780758022366	1.6935832732516225	2.6316715511562537e-11
9	AAG06782	PA3394	1.5656161904911	0.207751789807018	1.6935832732516225	2.6316715511562537e-11
9	AAG07975	PA4587	-1.23826496716825	0.103623817837075	1.6935832732516225	2.6316715511562537e-11
11	AAG06149	PA2761	1.16564079546191	0.0978299556476662	1.1707987651939031	0.002688399199137499
12	AAG03583	PA0193	1.04922587361243	0.280631102854683	1.4556751467710372	1.0080652293236918e-06
12	AAG03584	PA0194	1.15449380213007	0.237938193763784	1.4556751467710372	1.0080652293236918e-06
12	AAG05474	PA2086	-1.52603051949167	0.189033291370498	1.4556751467710372	1.0080652293236918e-06
12	AAG05476	PA2088	-1.02413475438487	0.414860989679712	1.4556751467710372	1.0080652293236918e-06
12	AAG06772	PA3384	1.75156083746984	0.177115782108311	1.4556751467710372	1.0080652293236918e-06
