LocusId	TranscriptId	GeneName	FoldChange_Chronic	Pvalue_Chronic	KO_Id	COG_Id	COG_Category
PA0044	AAG03434	exoT	6.18	0.00038	K16636	COG5585	Signal transduction mechanisms
PA0067	AAG03457	prlC	8.35	0.00073	K01414	COG0339	Amino acid transport and metabolism
PA0103	AAG03493	-	74.27	1.7E-26	-	COG0659	Inorganic ion transport and metabolism
PA0132	AAG03522	-	11.28	0.00092	K00822	COG0161	Coenzyme metabolism
PA0137	AAG03527	-	9.76	0.0017	K02057	COG4603	General function prediction only
PA0174	AAG03564	-	40.92	0.000039	K03411	COG1871	Cell motility and secretion / Signal transduction mechanisms
PA0218	AAG03607	-	13.95	5.9E-09	-	COG0583	Transcription
PA0247	AAG03636	pobA	26.81	0.00000003	K00481	COG0654	Coenzyme metabolism / Energy production and conversion
PA0276	AAG03665	-	14.24	0.0032	-	COG4539	Function unknown
PA0311	AAG03700	-	22.37	0.007	-	-	-
PA0334	AAG03723	-	33.26	3.1E-16	-	-	-
PA0355	AAG03744	pfpI	37.14	0.0053	K05520	COG0693	General function prediction only
PA0364	AAG03753	-	16.63	0.000000049	-	COG2303	Amino acid transport and metabolism
PA0367	AAG03756	-	8.9	0.0000012	-	COG1309	Transcription
PA0443	AAG03832	-	36.69	2.9E-12	K03457	COG1953	Nucleotide transport and metabolism / Coenzyme metabolism
PA0464	AAG03853	creC	6.23	0.00028	K07641	COG0642	Signal transduction mechanisms
PA0469	AAG03858	-	4.36	0.00047	-	-	-
PA0470	AAG03859	fiuA	34.31	1.3E-13	K02014	COG1629	Inorganic ion transport and metabolism
PA0471	AAG03860	-	8.8	0.0000046	-	COG3712	Inorganic ion transport and metabolism / Signal transduction mechanisms
PA0475	AAG03864	-	23.61	0.00027	-	COG1309	Transcription
PA0511	AAG03900	nirJ	6.22	0.0089	-	COG0535	General function prediction only
PA0514	AAG03903	nirL	11.65	0.0099	-	COG1522	Transcription
PA0516	AAG03905	nirF	9.12	0.00034	-	COG3391	Function unknown
PA0517	AAG03906	nirC	25.48	7.7E-11	-	COG2010	Energy production and conversion
PA0518	AAG03907	nirM	6.01	0.00046	-	COG4654	Energy production and conversion
PA0519	AAG03908	nirS	8.5	0.000000018	K15864	COG2010	Energy production and conversion
PA0521	AAG03910	-	12.3	0.0081	K02164	COG1845	Energy production and conversion
PA0523	AAG03912	norC	34.41	2.9E-10	K02305	-	-
PA0524	AAG03913	norB	36.37	1.7E-16	K04561	COG3256	Inorganic ion transport and metabolism
PA0525	AAG03914	-	41.54	7.6E-12	K02448	COG4548	Inorganic ion transport and metabolism
PA0534	AAG03923	-	15.84	0.00000048	-	COG0665	Amino acid transport and metabolism
PA0572	AAG03961	-	7.66	0.00036	-	-	-
PA0586	AAG03975	-	6.82	0.00045	-	COG2719	Function unknown
PA0657	AAG04046	-	12.8	0.000000013	-	COG0464	Posttranslational modification, protein turnover, chaperones
PA0676	AAG04065	vreR	13.64	0.0015	-	COG3712	Inorganic ion transport and metabolism / Signal transduction mechanisms
PA0688	AAG04077	-	37.84	0.00000033	-	COG0226	Inorganic ion transport and metabolism
PA0693	AAG04082	-	18.37	0.000098	K03561	COG5306	Function unknown
PA0713	AAG04102	-	44.36	0.0000026	-	-	-
PA0714	AAG04103	-	26.83	0.000000045	-	-	-
PA0737	AAG04126	-	18.44	0.00019	-	-	-
PA0738	AAG04127	-	33.85	0.000041	-	COG3776	Function unknown
PA0739	AAG04128	-	11.76	0.000014	-	COG0583	Transcription
PA0754	AAG04143	-	32.58	1.1E-13	K07795	COG3181	Function unknown
PA0780	AAG04169	pruR	15.09	8.2E-09	-	COG2207	Transcription
PA0781	AAG04170	-	31.14	0.00025	K02014	COG1629	Inorganic ion transport and metabolism
PA0788	AAG04177	-	10.55	0.00024	-	COG0744	Cell envelope biogenesis, outer membrane
PA0790	AAG04179	-	21.28	0.00022	K07090	COG0730	General function prediction only
PA0803	AAG04192	-	19.72	0.0071	-	COG2764	Function unknown
PA0806	AAG04195	-	45.37	2.5E-09	-	COG4270	Function unknown
PA0811	AAG04200	-	14.85	0.00000046	-	COG2223	Inorganic ion transport and metabolism
PA0829	AAG04218	-	7.11	0.0078	-	COG0596	General function prediction only
PA0840	AAG04229	-	7.2	0.00093	-	COG1902	Energy production and conversion
PA0844	AAG04233	plcH	45.75	1.9E-22	K01114	COG3511	Cell envelope biogenesis, outer membrane
PA0845	AAG04234	-	17.83	0.00000098	-	-	-
PA0849	AAG04238	-	5.17	0.0031	K00384	COG0492	Posttranslational modification, protein turnover, chaperones
PA0852	AAG04241	cbpD	6.84	0.0039	K03933	COG3397	Function unknown
PA0865	AAG04254	-	17.81	0.0002	K00457	COG3185	Amino acid transport and metabolism / General function prediction only
PA0872	AAG04261	phhA	25.35	0.00012	K00500	COG3186	Amino acid transport and metabolism
PA0875	AAG04264	-	7.93	0.0051	-	COG1289	Function unknown
PA0878	AAG04267	-	22.35	0.0033	K09709	COG3777	Function unknown
PA0879	AAG04268	-	29.45	0.00069	K00249	COG1960	Lipid metabolism
PA0882	AAG04271	-	31.65	0.00000021	-	COG1804	Energy production and conversion
PA0883	AAG04272	-	32.96	0.00000072	K01644	COG2301	Carbohydrate transport and metabolism
PA0918	AAG04307	-	32.97	6.2E-09	K12262	COG3038	Energy production and conversion
PA0952	AAG04341	-	15.06	0.000003	-	-	-
PA1015	AAG04404	-	9.46	0.00047	-	COG1414	Transcription
PA1026	AAG04415	-	11.55	0.000000006	-	-	-
PA1108	AAG04497	-	90.2	0.00033	-	-	-
PA1134	AAG04523	-	18.77	0.0000051	-	COG3011	General function    prediction only
PA1137	AAG04526	-	20.65	0.0031	-	COG0604	Energy production and conversion / General function prediction only
PA1141	AAG04530	-	18.21	9.7E-12	-	COG0583	Transcription
PA1145	AAG04534	-	4398.81	2.2E-138	-	COG0583	Transcription
PA1167	AAG04556	-	14.96	0.00019	-	-	-
PA1174	AAG04563	napA	7.88	0.000098	K02567	COG0243	Energy production and conversion
PA1176	AAG04565	napF	88.18	0.001	K02572	COG1148	Energy production and conversion
PA1186	AAG04575	-	15.59	0.0011	-	COG2141	Energy production and conversion
PA1194	AAG04583	-	20.14	0.0000032	K03758	COG0531	Amino acid transport and metabolism
PA1195	AAG04584	-	68.92	0.000000018	K01482	COG1834	Amino acid transport and metabolism
PA1205	AAG04594	-	79.61	2E-17	K06911	COG1741	General function prediction only
PA1213	AAG04602	-	85.28	6.6E-15	-	-	-
