LocusId	TranscriptId	GeneName	FoldChange_Chronic	Pvalue_Chronic	KO_Id	COG_Id	COG_Category
PA0001	AAG03391	dnaA	0.25	0.0000035	K02313	COG0593	DNA replication, recombination, and repair
PA0003	AAG03393	recF	0.23	0.000013	K03629	COG1195	DNA replication, recombination, and repair
PA0004	AAG03394	gyrB	0.18	0.000000013	-	COG0187	DNA replication, recombination, and repair
PA0005	AAG03395	lptA	0.25	0.0058	K00655	COG0204	Lipid metabolism
PA0006	AAG03396	-	0.17	0.0037	K03273	COG0241	Amino acid transport and metabolism
PA0008	AAG03398	glyS	0.2	0.0000015	K01879	COG0751	Translation, ribosomal structure and biogenesis
PA0009	AAG03399	glyQ	0.17	0.00000068	K01878	COG0752	Translation, ribosomal structure and biogenesis
PA0016	AAG03406	trkA	0.19	0.00065	K03499	COG0569	Inorganic ion transport and metabolism
PA0046	AAG03436	-	0.06	0.00000012	-	COG4259	Function unknown
PA0047	AAG03437	-	0.18	0.0068	-	COG4380	Function unknown
PA0070	AAG03460	-	0.11	7.9E-11	-	-	-
PA0071	AAG03461	-	0.22	0.00001	-	COG1262	Function unknown
PA0077	AAG03467	-	0.22	0.000024	K11891	COG3523	Intracellular trafficking, secretion, and    vesicular transport
PA0080	AAG03470	-	0.24	0.0067	K11906	COG3521	Intracellular trafficking, secretion, and    vesicular transport
PA0083	AAG03473	-	0.13	0.000027	K11901	COG3516	Intracellular trafficking, secretion, and    vesicular transport
PA0084	AAG03474	-	0.17	0.00000005	K11900	COG3517	Intracellular trafficking, secretion, and    vesicular transport
PA0085	AAG03475	hcp1	0.11	9.4E-12	K11903	COG3157	Intracellular trafficking, secretion,    and vesicular transport
PA0086	AAG03476	-	0.18	0.00069	K11898	COG4455	General function prediction only
PA0089	AAG03479	-	0.16	0.0036	K11895	COG3520	Intracellular trafficking, secretion, and    vesicular transport
PA0091	AAG03481	-	0.22	0.0012	-	COG3501	Function unknown
PA0170	AAG03560	-	0.06	0.0000027	-	-	-
PA0171	AAG03561	-	0.17	0.0081	-	-	-
PA0172	AAG03562	-	0.14	0.000026	-	COG2208	Signal transduction mechanisms / Transcription
PA0195	ABG56537	-	0.18	0.00012	K00324	COG3288	Energy production and conversion
PA0195.1	ABG56539	-	0.1	0.000000034	K00324	COG3288	Energy production and conversion
PA0196	AAG03585	pntB	0.13	0.000000069	K00325	COG1282	Energy production and conversion
PA0201	AAG03590	-	0.11	0.0000023	K07002	COG3545	General function prediction only
PA0280	AAG03669	cysA	0.14	0.00003	K02045	COG1118	Inorganic ion transport and metabolism
PA0282	AAG03671	cysT	0.1	0.0087	K02046	COG0555	Posttranslational modification, protein turnover, chaperones
PA0291	AAG03680	oprE	0.14	9.1E-11	-	-	-
PA0300	AAG03689	spuD	0.21	0.000005	K11073	COG0687	Amino acid transport and metabolism
PA0302	AAG03691	spuF	0.21	0.008	K11076	COG3842	Amino acid transport and metabolism
PA0304	AAG03693	spuH	0.15	0.00032	K11074	COG1177	Amino acid transport and metabolism
PA0316	AAG03705	serA	0.19	0.00000019	K00058	COG0111	Amino acid transport and metabolism
PA0317	AAG03706	-	0.22	0.0000099	-	COG0277	Energy production and conversion
PA0330	AAG03719	rpiA	0.16	0.000011	K01807	COG0120	Carbohydrate transport and metabolism
PA0331	AAG03720	-	0.16	0.00092	K01754	COG1171	Amino acid transport and metabolism
PA0336	AAG03725	ygdP	0.18	0.0000028	K08311	COG0494	DNA replication, recombination, and repair / General function prediction only
PA0337	AAG03726	ptsP	0.23	0.000056	K08484	COG3605	Signal transduction mechanisms
PA0342	AAG03731	thyA	0.18	0.0003	K00560	COG0207	Nucleotide transport and metabolism
PA0362	AAG03751	fdx1	0.25	0.0019	-	-	-
