Locus ID	Gene	Fold Change Expression (Burn vs. Succ.)	P	Fold Change  Expression (Chronic vs. Succ.)	P	KO	COG	COG Category
PA0001	dnaA	0.56	0.027	0.25	0.0000035	K02313	COG0593	DNA replication, recombination, and repair
PA0002	dnaN	0.38	0.00096	0.3	0.0006	K02338	COG0592	DNA replication, recombination, and repair
PA0003	recF	0.63	0.08	0.23	0.000013	K03629	COG1195	DNA replication, recombination, and repair
PA0004	gyrB	0.33	0.000039	0.18	0.000000013	-	COG0187	DNA replication, recombination, and repair
PA0005	lptA	0.26	0.00011	0.25	0.0058	K00655	COG0204	Lipid metabolism
PA0006	-	0.33	0.00084	0.17	0.0037	K03273	COG0241	Amino acid transport and metabolism
PA0007	-	2.07	0.033	1.69	0.53	-	-	-
PA0008	glyS	0.27	0.0000068	0.2	0.0000015	K01879	COG0751	Translation, ribosomal structure and biogenesis
PA0009	glyQ	0.33	0.00016	0.17	0.00000068	K01878	COG0752	Translation, ribosomal structure and biogenesis
PA0010	-	0.85	0.77	0.72	0.88	K01246	COG2818	DNA replication, recombination, and repair
PA0011	-	0.37	0.0011	0.31	0.0056	K02517	COG1560	Cell envelope biogenesis, outer membrane
PA0012	-	0.6	0.42	0.41	0.79	-	-	-
PA0013	-	0.26	0.005	0.25	0.12	K09125	COG1738	General function prediction only
PA0014	-	1.27	0.73	4.2	0.23	-	-	-
PA0015	-	0.75	0.71	0.41	0.099	-	COG4783	General function prediction only
PA0016	trkA	0.23	0.00000079	0.19	0.00065	K03499	COG0569	Inorganic ion transport and metabolism
PA0017	-	0.25	0.00013	0.31	0.036	K03500	COG0144	Translation, ribosomal structure and biogenesis
PA0018	-	0.38	0.034	0.44	0.52	K00604	COG0223	Translation, ribosomal structure and biogenesis
PA0019	-	0.94	0.88	0.43	0.031	K01462	COG0242	Translation, ribosomal structure and biogenesis
PA0020	-	1.41	0.38	0.91	0.83	-	COG1652	Function unknown
PA0021	-	7.59	0.0069	8.87	0.17	K04096	COG0758	DNA replication, recombination, and repair / Intracellular trafficking and secretion
PA0022	-	0.33	0.003	0.25	0.036	K07566	COG0009	Translation, ribosomal structure and biogenesis
PA0023	-	0.57	0.1	0.94	0.65	K00344	COG0604	Energy production and conversion / General function prediction only
PA0024	hemF	0.59	0.094	0.57	0.28	K00228	COG0408	Coenzyme metabolism
PA0025	aroE	0.4	0.0074	0.41	0.17	K00014	COG0169	Amino acid transport and metabolism
PA0026	plcB	1.91	0.11	2.37	0.11	-	-	-
PA0027	-	7.28	0.001	1.74	0.55	-	COG0760	Posttranslational modification, protein turnover, chaperones
PA0028	-	8.5	0.00064	6.41	0.25	-	-	-
PA0029	-	3.48	0.0085	2.93	0.52	-	COG0659	Inorganic ion transport and metabolism
PA0030	-	1.4	0.59	7.4	0.12	K02002	COG2113	Amino acid transport and metabolism
PA0031	betC	1.48	0.38	4.91	0.14	K01133	COG3119	Inorganic ion transport and metabolism
PA0032	-	1.17	0.5	2.8	0.086	-	COG0583	Transcription
PA0033	-	0.4	0.33	0.36	1	-	COG2198	Signal transduction mechanisms
