Module	Transcript_Id	Locus_Tag	GeneName	Expression_Fold_Change	Expression_Pvalue	KO_Id	COG	FoldChange_Module	FisherTest_Module	COG_Category
0	AAG03522	PA0132	-	16.61	0.038	K00822	COG0161	1.2378048780487805	0.129915470508686	Coenzyme metabolism
0	AAG04793	PA1404	-	4.99	0.17	-	-	1.2378048780487805	0.129915470508686	-
0	AAG05558	PA2170	-	7.03	0.039	-	-	1.2378048780487805	0.129915470508686	-
0	AAG07604	PA4216	-	7.5	0.096	-	COG0259	1.2378048780487805	0.129915470508686	Coenzyme metabolism
3	AAG04929	PA1540	-	6.03	0.017	K11742	COG2076	1.538550308776745	7.230979693927352e-09	Inorganic ion transport and metabolism
4	AAG03440	PA0050	-	6.68	0.2	-	-	1.4572993477027796	1.6933432108088877e-06	-
4	AAG03499	PA0109	-	4.56	0.044	-	-	1.4572993477027796	1.6933432108088877e-06	-
4	AAG03512	PA0122	-	9.37	0.066	-	-	1.4572993477027796	1.6933432108088877e-06	-
4	AAG04192	PA0803	-	4.12	0.11	-	COG2764	1.4572993477027796	1.6933432108088877e-06	Function unknown
4	AAG04254	PA0865	-	30.96	0.026	K00457	COG3185	1.4572993477027796	1.6933432108088877e-06	Amino acid transport and metabolism / General function prediction only
4	AAG04712	PA1323	-	26.47	0.022	-	COG4575	1.4572993477027796	1.6933432108088877e-06	Function unknown
4	AAG04713	PA1324	-	21.97	0.019	-	-	1.4572993477027796	1.6933432108088877e-06	-
4	AAG05121	PA1732	-	4.03	0.044	-	COG1305	1.4572993477027796	1.6933432108088877e-06	Amino acid transport and metabolism
4	AAG05339	PA1951	-	4.59	0.046	-	-	1.4572993477027796	1.6933432108088877e-06	-
4	AAG05456	PA2068	-	16.87	0.092	K05820	-	1.4572993477027796	1.6933432108088877e-06	-
4	AAG05457	PA2069	-	14.84	0.095	K00612	COG2192	1.4572993477027796	1.6933432108088877e-06	Posttranslational modification, protein turnover, chaperones
4	AAG05460	PA2072	-	10.85	0.025	-	COG5001	1.4572993477027796	1.6933432108088877e-06	Signal transduction mechanisms
4	AAG05522	PA2134	-	10.46	0.038	K08995	COG3652	1.4572993477027796	1.6933432108088877e-06	Function unknown
4	AAG05531	PA2143	-	5.37	0.15	-	-	1.4572993477027796	1.6933432108088877e-06	-
4	AAG05541	PA2153	glgB	6.43	0.11	K00700	COG0296	1.4572993477027796	1.6933432108088877e-06	Carbohydrate transport and metabolism
4	AAG05547	PA2159	-	24.74	0.028	-	COG0517	1.4572993477027796	1.6933432108088877e-06	General function prediction only
4	AAG05548	PA2160	-	8.43	0.024	K02438	COG1523	1.4572993477027796	1.6933432108088877e-06	Carbohydrate transport and metabolism
4	AAG05553	PA2165	-	10.67	0.17	K00703	COG0297	1.4572993477027796	1.6933432108088877e-06	Carbohydrate transport and metabolism
4	AAG05557	PA2169	-	4.4	0.044	-	-	1.4572993477027796	1.6933432108088877e-06	-
4	AAG05560	PA2172	-	5.65	0.029	-	COG1363	1.4572993477027796	1.6933432108088877e-06	Carbohydrate transport and metabolism
4	AAG05570	PA2182	-	11.81	0.015	-	-	1.4572993477027796	1.6933432108088877e-06	-
4	AAG05578	PA2190	-	12.22	0.023	K06884	COG3729	1.4572993477027796	1.6933432108088877e-06	General function prediction only
4	AAG05763	PA2375	-	8.16	0.46	-	-	1.4572993477027796	1.6933432108088877e-06	-
