Module	Transcript_Id	Locus_Tag	GeneName	Expression_Fold_Change	Expression_Pvalue	KO_Id	COG	FoldChange_Module	FisherTest_Module	COG_Category
0	AAG04263	PA0874	-	4.52	0.23	-	-	1.2541856925418569	0.04987604625504231	-
0	AAG04793	PA1404	-	19.75	0.13	-	-	1.2541856925418569	0.04987604625504231	-
0	AAG05558	PA2170	-	33.27	0.56	-	-	1.2541856925418569	0.04987604625504231	-
0	AAG06889	PA3501	-	5.35	0.89	-	-	1.2541856925418569	0.04987604625504231	-
0	AAG07686	PA4298	-	5.91	0.6	-	-	1.2541856925418569	0.04987604625504231	-
0	AAG07745	PA4357	-	14.64	0.41	K07490	-	1.2541856925418569	0.04987604625504231	-
3	AAG04929	PA1540	-	5.45	0.23	K11742	COG2076	2.806040009809761	2.853093077072024e-74	Inorganic ion transport and metabolism
8	AAG03428	PA0038	-	6.46	0.19	K09165	COG3360	3.2749098774333096	4.6756714209110584e-21	Function unknown
8	AAG03956	PA0567	-	6.41	0.18	-	COG0401	3.2749098774333096	4.6756714209110584e-21	Function unknown
8	AAG04981	PA1592	-	8.6	0.25	-	-	3.2749098774333096	4.6756714209110584e-21	-
8	AAG06271	PA2883	-	4.41	0.17	-	-	3.2749098774333096	4.6756714209110584e-21	-
8	AAG07315	PA3928	-	10.46	0.17	-	-	3.2749098774333096	4.6756714209110584e-21	-
8	AAG08124	PA4738	-	4.64	0.71	-	COG3237	3.2749098774333096	4.6756714209110584e-21	Function unknown
8	AAG08867	PA5482	-	6.43	0.51	-	-	3.2749098774333096	4.6756714209110584e-21	-
9	AAG03884	PA0495	-	4.1	0.18	-	COG2049	1.470367700072098	0.007220742710526749	Amino acid transport and metabolism
9	AAG03902	PA0513	-	8.57	0.099	-	COG1522	1.470367700072098	0.007220742710526749	Transcription
9	AAG03904	PA0515	-	11.28	0.15	-	COG1522	1.470367700072098	0.007220742710526749	Transcription
9	AAG03911	PA0522	-	4.66	0.43	-	-	1.470367700072098	0.007220742710526749	-
9	AAG04803	PA1414	-	26.37	0.04	-	-	1.470367700072098	0.007220742710526749	-
9	AAG06782	PA3394	nosF	9	0.13	K01990	COG1131	1.470367700072098	0.007220742710526749	Defense mechanisms
9	AAG06783	PA3395	nosY	7.99	0.3	K01992	-	1.470367700072098	0.007220742710526749	-
9	AAG06784	PA3396	nosL	21.08	0.17	-	COG4314	1.470367700072098	0.007220742710526749	Energy production and conversion
9	AAG06960	PA3572	-	6.58	0.085	-	-	1.470367700072098	0.007220742710526749	-
11	AAG03886	PA0497	-	5.42	0.11	-	-	1.7169978776770212	0.00029212456309502194	-
11	AAG04301	PA0912	-	4.61	0.3	-	-	1.7169978776770212	0.00029212456309502194	-
11	AAG05640	PA2252	-	4.43	0.018	K03310	COG1115	1.7169978776770212	0.00029212456309502194	Amino acid transport and metabolism
18	AAG04860	PA1471	-	7.23	0.58	-	-	2.1523101927095425	2.0082747429244233e-06	-
19	AAG04260	PA0871	phhB	4.07	0.19	K01724	COG2154	1.119201300208962	0.28725742149893346	Coenzyme metabolism
20	AAG03709	PA0320	-	7.91	0.79	-	COG3111	1.0158904109589042	0.46524393555553223	Function unknown
20	AAG04501	PA1112	-	4.38	0.14	-	COG2133	1.0158904109589042	0.46524393555553223	Carbohydrate transport and metabolism
20	AAG07316	PA3929	cioB	4.15	0.41	K00426	COG1294	1.0158904109589042	0.46524393555553223	Energy production and conversion
26	AAG05086	PA1697	-	7.12	0.038	K03224	COG1157	1.4222465753424656	0.16892937795236368	Cell motility and secretion / Intracellular trafficking and secretion
26	AAG05087	PA1698	popN	4.31	0.24	K04058	-	1.4222465753424656	0.16892937795236368	-
26	AAG05101	PA1712	exsB	6.43	0.022	-	-	1.4222465753424656	0.16892937795236368	-
26	AAG05106	PA1717	pscD	5.17	0.06	K03220	-	1.4222465753424656	0.16892937795236368	-
26	AAG05109	PA1720	pscG	4.61	0.12	K04051	-	1.4222465753424656	0.16892937795236368	-
26	AAG05114	PA1725	pscL	5.62	0.067	K03223	COG1317	1.4222465753424656	0.16892937795236368	Cell motility and secretion / Intracellular trafficking and secretion
27	AAG05094	PA1705	pcrG	8.64	0.018	-	-	1.3250744490768314	0.25274894016226895	-
27	AAG07747	PA4359	-	32.78	0.32	K04758	COG1918	1.3250744490768314	0.25274894016226895	Inorganic ion transport and metabolism
30	AAG03861	PA0472	-	5.59	0.3	K03088	COG1595	1.1544209215442092	0.3914137041123956	Transcription
30	AAG04634	PA1245	-	12.05	0.041	-	-	1.1544209215442092	0.3914137041123956	-
30	AAG04636	PA1247	aprE	11.35	0.057	K12537	COG1566	1.1544209215442092	0.3914137041123956	Defense mechanisms
30	AAG04637	PA1248	aprF	11.2	0.29	K12538	COG1538	1.1544209215442092	0.3914137041123956	Cell envelope biogenesis, outer membrane / Intracellular trafficking and secretion
30	AAG07286	PA3899	-	8.51	0.39	K03088	COG1595	1.1544209215442092	0.3914137041123956	Transcription
30	AAG07542	PA4155	-	7.24	0.11	-	COG2141	1.1544209215442092	0.3914137041123956	Energy production and conversion
30	AAG07857	PA4469	-	32.86	0.04	-	-	1.1544209215442092	0.3914137041123956	-
30	AAG08281	PA4896	-	10.47	0.041	K03088	COG1595	1.1544209215442092	0.3914137041123956	Transcription
31	AAG08220	PA4835	-	6.59	0.014	-	COG4408	4.063561643835617	6.537493375887515e-10	Function unknown
31	AAG08223	PA4838	-	6.2	0.041	-	COG3503	4.063561643835617	6.537493375887515e-10	Function unknown
31	AAG08922	PA5537	-	5.19	0.058	-	-	4.063561643835617	6.537493375887515e-10	-
36	AAG04990	PA1601	-	4.11	0.048	-	COG1529	1.3545205479452056	0.291259374383773	Energy production and conversion
36	AAG04991	PA1602	-	4.51	0.19	-	COG2080	1.3545205479452056	0.291259374383773	Energy production and conversion
36	AAG07258	PA3871	-	4.01	0.14	K03769	COG0760	1.3545205479452056	0.291259374383773	Posttranslational modification, protein turnover, chaperones
36	AAG07259	PA3872	narI	6.39	0.028	K00374	COG2181	1.3545205479452056	0.291259374383773	Energy production and conversion
36	AAG07260	PA3873	narJ	5.92	0.1	K00373	COG2180	1.3545205479452056	0.291259374383773	Energy production and conversion
36	AAG07302	PA3915	-	4.35	0.17	K03638	COG0521	1.3545205479452056	0.291259374383773	Coenzyme metabolism
38	AAG06722	PA3334	-	29.78	0.02	K02078	-	1.088454011741683	0.7148137387238487	-
41	AAG05083	PA1694	pscQ	9.9	0.046	K03225	COG1886	1.5629083245521602	0.24880402013318192	Cell motility and secretion / Intracellular trafficking and secretion
41	AAG05085	PA1696	pscO	13.47	0.031	K04056	-	1.5629083245521602	0.24880402013318192	-
41	AAG05089	PA1700	-	4.09	0.28	-	-	1.5629083245521602	0.24880402013318192	-
41	AAG05093	PA1704	pcrR	4.3	0.25	-	-	1.5629083245521602	0.24880402013318192	-
41	AAG07230	PA3843	-	17.44	0.021	-	-	1.5629083245521602	0.24880402013318192	-
42	AAG07608	PA4220	-	20.6	0.53	-	-	1.9536354056902003	0.04850843311495246	-
42	AAG07610	PA4222	-	14.76	0.2	K06147	COG1132	1.9536354056902003	0.04850843311495246	Defense mechanisms
42	AAG07612	PA4224	pchG	22.29	0.34	K12241	COG4693	1.9536354056902003	0.04850843311495246	Secondary metabolites biosynthesis, transport, and catabolism
42	AAG07614	PA4226	pchE	36.82	0.025	K12239	COG1020	1.9536354056902003	0.04850843311495246	Secondary metabolites biosynthesis, transport, and catabolism
42	AAG07616	PA4228	pchD	47.6	0.14	K12238	COG1021	1.9536354056902003	0.04850843311495246	Secondary metabolites biosynthesis, transport, and catabolism
42	AAG07617	PA4229	pchC	25.6	0.03	K12242	COG3208	1.9536354056902003	0.04850843311495246	Secondary metabolites biosynthesis, transport, and catabolism
42	AAG07618	PA4230	pchB	15.07	0.11	K04782	COG1605	1.9536354056902003	0.04850843311495246	Amino acid transport and metabolism
