PathwayId	PathwayName	KeggId	Gene	PathwayDescription
00010	Glycolysis / Gluconeogenesis	K00927	PA0552	phosphoglycerate kinase [EC:2.7.2.3] | (RefSeq) pgk; phosphoglycerate kinase
00010	Glycolysis / Gluconeogenesis	K01624	PA0555	fructose-bisphosphate aldolase, class II [EC:4.1.2.13] | (RefSeq) fda; fructose-1,6-bisphosph
00010	Glycolysis / Gluconeogenesis	K01895	PA0887	acetyl-CoA synthetase [EC:6.2.1.1] | (RefSeq) acsA; acetyl-CoA synthetase
00010	Glycolysis / Gluconeogenesis	K00128	PA1027	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3] | (RefSeq) aldehyde dehydrogenase
00010	Glycolysis / Gluconeogenesis	K00873	PA1498	pyruvate kinase [EC:2.7.1.40] | (RefSeq) pykF; pyruvate kinase
00010	Glycolysis / Gluconeogenesis	K00382	PA1587	dihydrolipoamide dehydrogenase [EC:1.8.1.4] | (RefSeq) lpdG; 2-oxoglutarate dehydrogenase com
00010	Glycolysis / Gluconeogenesis	K01007	PA1770	pyruvate, water dikinase [EC:2.7.9.2] | (RefSeq) ppsA; phosphoenolpyruvate synthase
00010	Glycolysis / Gluconeogenesis	K00114	PA1982	alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8] | (RefSeq) exaA; quinoprotein ethanol dehyd
00010	Glycolysis / Gluconeogenesis	K00138	PA1984	aldehyde dehydrogenase [EC:1.2.1.-] | (RefSeq) exaC; NAD+ dependent aldehyde dehydrogenase Ex
00010	Glycolysis / Gluconeogenesis	K00382	PA2250	dihydrolipoamide dehydrogenase [EC:1.8.1.4] | (RefSeq) lpdV; branched-chain alpha-keto acid d
00010	Glycolysis / Gluconeogenesis	K13979	PA2275	alcohol dehydrogenase (NADP+) [EC:1.1.1.2] | (RefSeq) alcohol dehydrogenase
00010	Glycolysis / Gluconeogenesis	K00131	PA2323	glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9] | (RefSeq) glyceraldehyde-3-pho
00010	Glycolysis / Gluconeogenesis	K01895	PA2555	acetyl-CoA synthetase [EC:6.2.1.1] | (RefSeq) AMP-binding protein
00010	Glycolysis / Gluconeogenesis	K00134	PA3001	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12] | (RefSeq) glyceraldehyde-3-phosphate
00010	Glycolysis / Gluconeogenesis	K00845	PA3193	glucokinase [EC:2.7.1.2] | (RefSeq) glk; glucokinase
00010	Glycolysis / Gluconeogenesis	K00134	PA3195	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12] | (RefSeq) gapA; glyceraldehyde 3-phos
00010	Glycolysis / Gluconeogenesis	K00627	PA3415	pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12] | (Ref
00010	Glycolysis / Gluconeogenesis	K00162	PA3416	pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1] | (RefSeq) pyruvate dehydrogena
00010	Glycolysis / Gluconeogenesis	K00161	PA3417	pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1] | (RefSeq) pyruvate dehydrogen
00010	Glycolysis / Gluconeogenesis	K00121	PA3629	S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1] | (
00010	Glycolysis / Gluconeogenesis	K01689	PA3635	enolase [EC:4.2.1.11] | (RefSeq) eno; enolase
00010	Glycolysis / Gluconeogenesis	K00138	PA4022	aldehyde dehydrogenase [EC:1.2.1.-] | (RefSeq) aldehyde dehydrogenase
00010	Glycolysis / Gluconeogenesis	K00627	PA4152	pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12] | (Ref
00010	Glycolysis / Gluconeogenesis	K00873	PA4329	pyruvate kinase [EC:2.7.1.40] | (RefSeq) pykA; pyruvate kinase
00010	Glycolysis / Gluconeogenesis	K01810	PA4732	glucose-6-phosphate isomerase [EC:5.3.1.9] | (RefSeq) pgi; glucose-6-phosphate isomerase
00010	Glycolysis / Gluconeogenesis	K01895	PA4733	acetyl-CoA synthetase [EC:6.2.1.1] | (RefSeq) acsB; acetyl-CoA synthetase
00010	Glycolysis / Gluconeogenesis	K01803	PA4748	triosephosphate isomerase (TIM) [EC:5.3.1.1] | (RefSeq) tpiA; triosephosphate isomerase
00010	Glycolysis / Gluconeogenesis	K00382	PA4829	dihydrolipoamide dehydrogenase [EC:1.8.1.4] | (RefSeq) lpd3; dihydrolipoamide dehydrogenase
00010	Glycolysis / Gluconeogenesis	K00128	PA4899	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3] | (RefSeq) aldehyde dehydrogenase
00010	Glycolysis / Gluconeogenesis	K00163	PA5015	pyruvate dehydrogenase E1 component [EC:1.2.4.1] | (RefSeq) aceE; pyruvate dehydrogenase subu
00010	Glycolysis / Gluconeogenesis	K00627	PA5016	pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12] | (Ref
00010	Glycolysis / Gluconeogenesis	K03841	PA5110	fructose-1,6-bisphosphatase I [EC:3.1.3.11] | (RefSeq) fbp; fructose-1,6-bisphosphatase
00010	Glycolysis / Gluconeogenesis	K15633	PA5131	2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12] | (RefSeq) pgm; 2,3
00010	Glycolysis / Gluconeogenesis	K01610	PA5192	phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49] | (RefSeq) pckA; phosphoenolpyruvate ca
00010	Glycolysis / Gluconeogenesis	K15778	PA5322	phosphomannomutase / phosphoglucomutase [EC:5.4.2.8 5.4.2.2] | (RefSeq) algC; phosphomannomut
00010	Glycolysis / Gluconeogenesis	K01792	PA5422	glucose-6-phosphate 1-epimerase [EC:5.1.3.15] | (RefSeq) hypothetical protein
00010	Glycolysis / Gluconeogenesis	K13953	PA5427	alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1] | (RefSeq) adhA; alcohol dehydrogenas
00020	Citrate cycle (TCA cycle)	K01679	PA0854	fumarate hydratase, class II [EC:4.2.1.2] | (RefSeq) fumC2; fumarate hydratase
00020	Citrate cycle (TCA cycle)	K01681	PA1562	aconitate hydratase [EC:4.2.1.3] | (RefSeq) acnA; aconitate hydratase
00020	Citrate cycle (TCA cycle)	K01647	PA1580	citrate synthase [EC:2.3.3.1] | (RefSeq) gltA; citrate synthase
00020	Citrate cycle (TCA cycle)	K00241	PA1581	succinate dehydrogenase / fumarate reductase, cytochrome b subunit | (RefSeq) sdhC; succinate
00020	Citrate cycle (TCA cycle)	K00242	PA1582	succinate dehydrogenase / fumarate reductase, membrane anchor subunit | (RefSeq) sdhD; succin
00020	Citrate cycle (TCA cycle)	K00239	PA1583	succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4] | (Re
00020	Citrate cycle (TCA cycle)	K00240	PA1584	succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4] | (Ref
00020	Citrate cycle (TCA cycle)	K00164	PA1585	2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2] | (RefSeq) sucA; 2-oxoglutarate dehydr
00020	Citrate cycle (TCA cycle)	K00658	PA1586	2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61
00020	Citrate cycle (TCA cycle)	K00382	PA1587	dihydrolipoamide dehydrogenase [EC:1.8.1.4] | (RefSeq) lpdG; 2-oxoglutarate dehydrogenase com
00020	Citrate cycle (TCA cycle)	K01903	PA1588	succinyl-CoA synthetase beta subunit [EC:6.2.1.5] | (RefSeq) sucC; succinyl-CoA ligase subuni
00020	Citrate cycle (TCA cycle)	K01902	PA1589	succinyl-CoA synthetase alpha subunit [EC:6.2.1.5] | (RefSeq) sucD; succinyl-CoA ligase subun
00020	Citrate cycle (TCA cycle)	K01682	PA1787	aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99] | (RefSeq) acnB;
00020	Citrate cycle (TCA cycle)	K00382	PA2250	dihydrolipoamide dehydrogenase [EC:1.8.1.4] | (RefSeq) lpdV; branched-chain alpha-keto acid d
00020	Citrate cycle (TCA cycle)	K00031	PA2623	isocitrate dehydrogenase [EC:1.1.1.42] | (RefSeq) icd; isocitrate dehydrogenase
00020	Citrate cycle (TCA cycle)	K00031	PA2624	isocitrate dehydrogenase [EC:1.1.1.42] | (RefSeq) idh; isocitrate dehydrogenase
00020	Citrate cycle (TCA cycle)	K00627	PA3415	pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12] | (Ref
00020	Citrate cycle (TCA cycle)	K00162	PA3416	pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1] | (RefSeq) pyruvate dehydrogena
