PA0001	AAG03391
PA0002	AAG03392
PA0003	AAG03393
PA0004	AAG03394
PA0005	AAG03395
PA0006	AAG03396
PA0007	AAG03397
PA0008	AAG03398
PA0009	AAG03399
PA0010	AAG03400
PA0011	AAG03401
PA0012	AAG03402
PA0013	AAG03403
PA0014	AAG03404
PA0015	AAG03405
PA0016	AAG03406
PA0017	AAG03407
PA0018	AAG03408
PA0019	AAG03409
PA0020	AAG03410
PA0021	AAG03411
PA0022	AAG03412
PA0023	AAG03413
PA0024	AAG03414
PA0025	AAG03415
PA0026	AAG03416
PA0027	AAG03417
PA0028	AAG03418
PA0029	AAG03419
PA0030	AAG03420
PA0031	AAG03421
PA0032	AAG03422
PA0033	AAG03423
PA0034	AAG03424
PA0035	AAG03425
PA0036	AAG03426
PA0037	AAG03427
PA0038	AAG03428
PA0039	AAG03429
PA0040	AAG03430
PA0041	AAG03431
PA0042	AAG03432
PA0043	AAG03433
PA0044	AAG03434
PA0045	AAG03435
PA0046	AAG03436
PA0047	AAG03437
PA0048	AAG03438
PA0049	AAG03439
PA0050	AAG03440
PA0051	AAG03441
PA0052	AAG03442
PA0053	AAG03443
PA0054	AAG03444
PA0055	AAG03445
PA0056	AAG03446
PA0057	AAG03447
PA0058	AAG03448
PA0059	AAG03449
PA0060	AAG03450
PA0061	AAG03451
PA0062	AAG03452
PA0063	AAG03453
PA0064	AAG03454
PA0065	AAG03455
PA0066	AAG03456
PA0067	AAG03457
PA0068	AAG03458
PA0069	AAG03459
PA0070	AAG03460
PA0071	AAG03461
PA0072	AAG03462
PA0073	AAG03463
PA0074	AAG03464
PA0075	AAG03465
PA0076	AAG03466
PA0077	AAG03467
PA0078	AAG03468
PA0079	AAG03469
PA0080	AAG03470
PA0081	AAG03471
PA0082	AAG03472
PA0083	AAG03473
PA0084	AAG03474
PA0085	AAG03475
PA0086	AAG03476
PA0087	AAG03477
PA0088	AAG03478
PA0089	AAG03479
PA0090	AAG03480
PA0091	AAG03481
PA0092	AAG03482
PA0093	AAG03483
PA0094	AAG03484
PA0095	AAG03485
PA0096	AAG03486
PA0097	AAG03487
PA0098	AAG03488
PA0099	AAG03489
PA0100	AAG03490
PA0101	AAG03491
PA0102	AAG03492
PA0103	AAG03493
PA0104	AAG03494
PA0105	AAG03495
PA0106	AAG03496
PA0107	AAG03497
PA0108	AAG03498
PA0109	AAG03499
PA0110	AAG03500
PA0111	AAG03501
PA0112	AAG03502
PA0113	AAG03503
PA0114	AAG03504
PA0115	AAG03505
PA0116	AAG03506
PA0117	AAG03507
PA0118	AAG03508
PA0119	AAG03509
PA0120	AAG03510
PA0121	AAG03511
PA0122	AAG03512
PA0123	AAG03513
PA0124	AAG03514
PA0125	AAG03515
PA0126	AAG03516
PA0127	AAG03517
PA0128	AAG03518
PA0129	AAG03519
PA0130	AAG03520
PA0131	AAG03521
PA0132	AAG03522
PA0133	AAG03523
PA0134	AAG03524
PA0135	AAG03525
PA0136	AAG03526
PA0137	AAG03527
PA0138	AAG03528
PA0139	AAG03529
PA0140	AAG03530
PA0141	AAG03531
PA0142	AAG03532
PA0143	AAG03533
PA0144	AAG03534
PA0145	AAG03535
PA0146	AAG03536
PA0147	AAG03537
PA0148	AAG03538
PA0149	AAG03539
PA0150	AAG03540
PA0151	AAG03541
PA0152	AAG03542
PA0153	AAG03543
PA0154	AAG03544
PA0155	AAG03545
PA0156	AAG03546
PA0157	AAG03547
PA0158	AAG03548
PA0159	AAG03549
PA0160	AAG03550
PA0161	AAG03551
PA0162	AAG03552
PA0163	AAG03553
PA0164	AAG03554
PA0165	AAG03555
PA0166	AAG03556
PA0167	AAG03557
PA0168	AAG03558
PA0169	AAG03559
PA0170	AAG03560
PA0171	AAG03561
PA0172	AAG03562
PA0173	AAG03563
PA0174	AAG03564
PA0175	AAG03565
PA0176	AAG03566
PA0177	AAG03567
PA0178	AAG03568
PA0179	AAG03569
PA0180	AAG03570
PA0181	AAG03571
PA0182	AAG03572
PA0183	AAG03573
PA0184	AAG03574
PA0185	AAG03575
PA0186	AAG03576
PA0187	AAG03577
PA0188	AAG03578
PA0189	AAG03579
PA0190	AAG03580
PA0191	AAG03581
PA0192	AAG03582
PA0193	AAG03583
PA0194	AAG03584
PA0195	ABG56537
PA0195.1	ABG56539
PA0196	AAG03585
PA0197	AAG03586
PA0198	AAG03587
PA0199	AAG03588
PA0200	AAG03589
PA0201	AAG03590
PA0202	AAG03591
PA0203	AAG03592
PA0204	AAG03593
PA0205	AAG03594
PA0206	AAG03595
PA0207	AAG03596
PA0208	AAG03597
PA0209	AAG03598
PA0210	AAG03599
PA0211	AAG03600
PA0212	AAG03601
PA0213	AAG03602
PA0214	AAG03603
PA0215	AAG03604
PA0216	AAG03605
PA0217	AAG03606
PA0218	AAG03607
PA0219	AAG03608
PA0220	AAG03609
PA0221	AAG03610
PA0222	AAG03611
PA0223	AAG03612
PA0224	AAG03613
PA0225	AAG03614
PA0226	AAG03615
PA0227	AAG03616
PA0228	AAG03617
PA0229	AAG03618
PA0230	AAG03619
PA0231	AAG03620
PA0232	AAG03621
PA0233	AAG03622
PA0234	AAG03623
PA0235	AAG03624
PA0236	AAG03625
PA0237	AAG03626
PA0238	AAG03627
PA0239	AAG03628
PA0240	AAG03629
PA0241	AAG03630
PA0242	AAG03631
PA0243	AAG03632
PA0244	AAG03633
PA0245	AAG03634
PA0246	AAG03635
PA0247	AAG03636
PA0248	AAG03637
PA0249	AAG03638
PA0250	AAG03639
PA0251	AAG03640
PA0252	AAG03641
PA0253	AAG03642
PA0254	AAG03643
PA0255	AAG03644
PA0256	AAG03645
PA0257	AAG03646
PA0258	AAG03647
PA0259	AAG03648
PA0260	AAG03649
PA0261	AAG03650
PA0262	AAG03651
PA0263	AAG03652
PA0263.1	PA0263.1-1
EBG00001435483	EBT00001813502
PA0264	AAG03653
PA0265	AAG03654
PA0266	AAG03655
PA0267	AAG03656
PA0268	AAG03657
PA0269	AAG03658
PA0270	AAG03659
PA0271	AAG03660
PA0272	AAG03661
PA0273	AAG03662
PA0274	AAG03663
PA0275	AAG03664
PA0276	AAG03665
PA0277	AAG03666
PA0278	AAG03667
PA0279	AAG03668
PA0280	AAG03669
PA0281	AAG03670
PA0282	AAG03671
PA0283	AAG03672
PA0284	AAG03673
PA0285	AAG03674
PA0286	AAG03675
PA0287	AAG03676
PA0288	AAG03677
PA0289	AAG03678
PA0290	AAG03679
PA0291	AAG03680
PA0292	AAG03681
PA0293	AAG03682
PA0294	AAG03683
PA0295	AAG03684
PA0296	AAG03685
EBG00001435444	EBT00001813499
PA0297	AAG03686
PA0298	AAG03687
PA0299	AAG03688
PA0300	AAG03689
PA0301	AAG03690
PA0302	AAG03691
PA0303	AAG03692
PA0304	AAG03693
PA0305	AAG03694
PA0306	AAG03695
PA0307	AAG03696
PA0308	AAG03697
PA0309	AAG03698
PA0310	AAG03699
PA0311	AAG03700
PA0312	AAG03701
PA0313	AAG03702
PA0314	AAG03703
PA0315	AAG03704
PA0316	AAG03705
EBG00001435502	EBT00001813438
PA0317	AAG03706
PA0318	AAG03707
PA0319	AAG03708
PA0320	AAG03709
PA0321	AAG03710
PA0322	AAG03711
PA0323	AAG03712
PA0324	AAG03713
PA0325	AAG03714
PA0326	AAG03715
PA0327	AAG03716
PA0328	AAG03717
PA0329	AAG03718
PA0330	AAG03719
PA0331	AAG03720
PA0332	AAG03721
PA0333	AAG03722
PA0334	AAG03723
PA0335	AAG03724
PA0336	AAG03725
PA0337	AAG03726
PA0338	AAG03727
PA0339	AAG03728
PA0340	AAG03729
PA0341	AAG03730
PA0342	AAG03731
PA0343	AAG03732
PA0344	AAG03733
PA0345	AAG03734
PA0346	AAG03735
PA0347	AAG03736
PA0348	AAG03737
PA0349	AAG03738
PA0350	AAG03739
PA0351	AAG03740
PA0352	AAG03741
PA0353	AAG03742
PA0354	AAG03743
PA0355	AAG03744
PA0356	AAG03745
PA0357	AAG03746
PA0358	AAG03747
PA0359	AAG03748
PA0360	AAG03749
PA0361	AAG03750
PA0362	AAG03751
PA0363	AAG03752
PA0364	AAG03753
