Module	Transcript_Id	Locus_Tag	GeneName	Expression_Fold_Change	Expression_Pvalue	KO_Id	COG	FoldChange_Module	FisherTest_Module	COG_Category
5	AAG04730	PA1341	-	0.22	0.013	K10003	COG0765	1.107869559358577	0.14057547506220275	Amino acid transport and metabolism
5	AAG06906	PA3518	-	0.12	0.67	-	-	1.107869559358577	0.14057547506220275	-
5	AAG06907	PA3519	-	0.17	0.63	-	-	1.107869559358577	0.14057547506220275	-
5	AAG07307	PA3920	-	0.21	0.65	K01533	COG2217	1.107869559358577	0.14057547506220275	Inorganic ion transport and metabolism
6	AAG06179	PA2791	-	0.23	0.055	-	-	1.0429164504411002	0.3070994816182044	-
10	AAG04617	PA1228	-	0.24	0.011	-	-	1.3734547276979618	0.052124204719172465	-
12	AAG03672	PA0283	-	0.09	0.018	K02048	COG1613	1.4323170731707318	0.04466317600726901	Inorganic ion transport and metabolism
12	AAG06833	PA3445	-	0.09	0.01	K15553	COG0715	1.4323170731707318	0.04466317600726901	Inorganic ion transport and metabolism
12	AAG07325	PA3938	-	0.15	0.067	K15551	COG4521	1.4323170731707318	0.04466317600726901	Inorganic ion transport and metabolism
12	AAG07831	PA4443	cysD	0.13	0.019	K00957	COG0175	1.4323170731707318	0.04466317600726901	Amino acid transport and metabolism / Coenzyme metabolism
30	AAG05300	PA1912	femI	0.17	0.034	K03088	COG1595	2.4305986696230604	0.00421183543711482	Transcription
