LocusId	TranscriptId	GeneName	FoldChange_Burn	Pvalue_Burn	KO_Id	COG_Id	COG_Category
PA0021	AAG03411	-	7.59	0.0069	K04096	COG0758	DNA replication, recombination, and repair / Intracellular trafficking and secretion
PA0027	AAG03417	-	7.28	0.001	-	COG0760	Posttranslational modification, protein turnover, chaperones
PA0028	AAG03418	-	8.5	0.00064	-	-	-
PA0038	AAG03428	-	31.99	0.000014	K09165	COG3360	Function unknown
PA0044	AAG03434	exoT	4.96	0.000000047	K16636	COG5585	Signal transduction mechanisms
PA0049	AAG03439	-	8.96	0.0002	-	-	-
PA0052	AAG03442	-	18.17	0.0043	-	COG1917	Function unknown
PA0059	AAG03449	osmC	23.09	0.0000016	K04063	COG1764	Secondary metabolites biosynthesis, transport and catabolism
PA0103	AAG03493	-	9.01	0.00088	-	COG0659	Inorganic ion transport and metabolism
PA0113	AAG03503	-	14.93	1.6E-13	K02301	COG0109	Posttranslational modification, protein turnover, chaperones
PA0134	AAG03524	-	4.5	0.0000018	K01487	COG0402	Nucleotide transport and metabolism / General function prediction only
PA0137	AAG03527	-	10.91	2.6E-11	K02057	COG4603	General function prediction only
PA0174	AAG03564	-	11.43	0.002	K03411	COG1871	Cell motility and secretion / Signal transduction mechanisms
PA0176	AAG03566	aer2	6.38	0.0049	K03406	COG0840	Cell motility and secretion / Signal transduction mechanisms
PA0215	AAG03604	-	19.42	3.4E-22	-	-	-
PA0274	AAG03663	-	4.87	0.0077	-	-	-
PA0276	AAG03665	-	29.29	1E-18	-	COG4539	Function unknown
PA0327	AAG03716	-	4.09	0.00018	-	COG3204	Function unknown
PA0334	AAG03723	-	6.73	0.000000022	-	-	-
PA0396	AAG03785	pilU	4.84	0.00000013	K02670	COG5008	Cell motility and secretion / Intracellular trafficking and secretion
PA0450	AAG03839	-	12.99	2.6E-15	K03306	COG0306	Inorganic ion transport and metabolism
PA0451	AAG03840	-	18.09	0.0098	K07403	COG1030	Posttranslational modification, protein turnover, chaperones
PA0452	AAG03841	-	9.85	0.000038	-	COG0330	Posttranslational modification, protein turnover, chaperones
