LocusId	TranscriptId	GeneName	FoldChange_Burn	Pvalue_Burn	KO_Id	COG_Id	COG_Category
PA0016	AAG03406	trkA	0.23	0.00000079	K03499	COG0569	Inorganic ion transport and metabolism
PA0017	AAG03407	-	0.25	0.00013	K03500	COG0144	Translation, ribosomal structure and biogenesis
PA0035	AAG03425	trpA	0.19	0.0000024	K01695	COG0159	Amino acid transport and metabolism
PA0036	AAG03426	trpB	0.23	0.000011	K01696	COG0133	Amino acid transport and metabolism
PA0046	AAG03436	-	0.12	0.0000012	-	COG4259	Function unknown
PA0047	AAG03437	-	0.2	0.000044	-	COG4380	Function unknown
PA0070	AAG03460	-	0.2	0.000000056	-	-	-
PA0115	AAG03505	-	0.21	0.00013	K02348	COG2153	General function prediction only
PA0169	AAG03559	-	0.1	0.00000001	-	COG2199	Signal    transduction mechanisms
PA0170	AAG03560	-	0.03	2.5E-18	-	-	-
PA0171	AAG03561	-	0.12	1.6E-09	-	-	-
PA0172	AAG03562	-	0.07	1.1E-14	-	COG2208	Signal transduction mechanisms / Transcription
PA0195.1	ABG56539	-	0.19	0.00000013	K00324	COG3288	Energy production and conversion
PA0196	AAG03585	pntB	0.13	2.4E-11	K00325	COG1282	Energy production and conversion
PA0280	AAG03669	cysA	0.05	5.5E-11	K02045	COG1118	Inorganic ion transport and metabolism
PA0281	AAG03670	cysW	0.05	0.00016	K02047	COG4208	Inorganic ion transport and metabolism
PA0282	AAG03671	cysT	0.09	0.00074	K02046	COG0555	Posttranslational modification, protein turnover, chaperones
PA0363	AAG03752	coaD	0.23	0.00013	K00954	COG0669	Coenzyme metabolism
PA0374	AAG03763	ftsE	0.23	0.000002	K09812	COG2884	Cell division and chromosome partitioning
PA0380	AAG03769	-	0.21	0.00000017	K03154	COG2104	Coenzyme metabolism
PA0381	AAG03770	thiG	0.25	0.000069	K03149	COG2022	Nucleotide transport and metabolism
PA0382	AAG03771	micA	0.25	0.0000032	K03439	COG0220	General function prediction only
